#,id,age,district,activity_frequency,barrier_details,created_at,activity_types,development_ideas,missing_infrastructure,sports_accessibility_rating,usage_barriers,agree_personal_data,agree_privacy_policy,marker,development_priorities,preferred_events
1,1,26-35,Ауэзовский,Несколько раз в неделю,asd,2025-03-28 15:45:47.397469 +00:00,,,,,,,,,,
2,2,26-35,Жетысуский,Несколько раз в неделю,sdasdf,2025-03-28 15:46:11.727042 +00:00,,,,,,,,,,
3,3,26-35,Бостандыкский,Несколько раз в месяц,asdfasdf,2025-03-28 15:56:08.987589 +00:00,,,,,,,,,,
4,4,<18,Жетысуский,Несколько раз в месяц,asdf,2025-03-28 15:56:33.096866 +00:00,,,,,,,,,,
5,5,26-35,Ауэзовский,Несколько раз в неделю,,2025-03-28 16:09:53.183050 +00:00,,,,,,,,,,
6,6,26-35,Наурызбайский,Несколько раз в неделю,,2025-03-28 16:09:55.145584 +00:00,,,,,,,,,,
7,7,18-25,Бостандыкский,Несколько раз в неделю,,2025-03-28 16:10:02.975924 +00:00,,,,,,,,,,
8,8,26-35,Бостандыкский,Не занимаюсь,"Пиво и закуски, вот барьер",2025-03-28 16:18:45.712800 +00:00,,,,,,,,,,
9,9,26-35,Алмалинский,Редко,,2025-03-28 16:58:38.842267 +00:00,,,,,,,,,,
10,10,18-25,Бостандыкский,Несколько раз в неделю,,2025-03-28 21:34:27.065382 +00:00,,,,,,,,,,
11,11,46-60,Бостандыкский,Редко,werwer,2025-04-14 08:42:23.534008 +00:00,,,,,,,,,,
12,12,36-45,Медеуский,Редко,21232,2025-04-14 10:50:23.093936 +00:00,,,,,,,,,,
13,13,До 18 лет,Алмалинский,Ежедневно,9,2025-04-14 11:24:33.422092 +00:00,,,,,,,,,,
14,14,До 18 лет,Жетысуский,Практически не занимаюсь,1231233,2025-04-14 13:54:27.576131 +00:00,,,,,,,,,,
15,17,26-35,Медеуский,Ежедневно,-,2025-04-24 07:20:19.383689 +00:00,,"","""Велодорожки / беговые дорожки""","""{\""Оцените доступность спортивных объектов в вашем районе\"":3,\""Насколько удобно расположены спортивные объекты относительно вашего места жительства?\"":3,\""Насколько вы удовлетворены уровнем освещённости и безопасности спортивных и рекреационных зон в вечернее время?\"":3}""",,,,,,
