#,#,id,address,microdistrict_id,photo_url,marker,created_at,updated_at,is_deleted,category_id,district_id,sub_category_id,name_kz,name_ru,address_building_id,full_address
1,3105,650701,"мкр.Таугуль-1, 45",156,,POINT (76.880857 43.214031),2024-03-26 07:05:48.797546 +00:00,2024-10-03 07:16:01.744493 +00:00,false,5,3,32,Спортивная площадка,Спортивная площадка,337967,"мкр.Таугуль-1, 45"
2,3116,650225,"ул.Навои, 328",,,POINT (76.888502 43.19696),2024-03-26 07:05:48.797546 +00:00,2024-10-03 07:16:01.744493 +00:00,false,5,4,32,Футбольное поле,Футбольное поле,165251,"ул.Навои, 328"
3,3335,651850,"мкр.Думан-2, 27",76,,POINT (77.003648 43.285467),2024-03-26 07:05:48.797546 +00:00,2024-10-03 07:16:01.744493 +00:00,false,5,6,32,Площадка для воркаута,Площадка для воркаута,257600,"мкр.Думан-2, 27"
4,3450,649610,"мкр.Думан-2, 57",76,,POINT (77.005169 43.288147),2024-03-26 07:05:48.797546 +00:00,2024-10-03 07:16:01.744493 +00:00,false,5,6,32,Баскетбольная площадка,Баскетбольная площадка,257454,"мкр.Думан-2, 57"
5,3467,650835,"ул.Коперника, 16",,,POINT (76.966336 43.275652),2024-03-26 07:05:48.797546 +00:00,2024-10-03 07:16:01.744493 +00:00,false,5,6,32,Спортивная площадка,Спортивная площадка,198388,"ул.Коперника, 16"
6,3468,651763,"ул.Коперника, 16",,,POINT (76.966336 43.275652),2024-03-26 07:05:48.797546 +00:00,2024-10-03 07:16:01.744493 +00:00,false,5,6,32,Площадка для воркаута,Площадка для воркаута,198388,"ул.Коперника, 16"
7,3502,649695,"ул.Байзакова, 287 А",,,POINT (76.914105 43.238497),2024-03-26 07:05:48.797546 +00:00,2024-10-03 07:16:01.744493 +00:00,false,5,4,32,Баскетбольная площадка,Баскетбольная площадка,339343,"ул.Байзакова, 287 А"
8,3555,651838,"ул.Кыз-Жибек, 1 А",110,,POINT (76.972223 43.22231),2024-03-26 07:05:48.797546 +00:00,2024-10-03 07:16:01.744493 +00:00,false,5,6,32,Площадка для воркаута,Площадка для воркаута,266030,"ул.Кыз-Жибек, 1 А"
9,3615,650058,"мкр.Самал-3, 1",145,,POINT (76.959386 43.22739),2024-03-26 07:05:48.797546 +00:00,2024-10-03 07:16:01.744493 +00:00,false,5,6,32,Футбольное поле,Футбольное поле,338535,"мкр.Самал-3, 1"
10,3618,650064,"мкр.Эдельвейс, 4",183,,POINT (76.954007 43.206408),2024-03-26 07:05:48.797546 +00:00,2024-10-03 07:16:01.744493 +00:00,false,5,6,32,Футбольное поле,Футбольное поле,259295,"мкр.Эдельвейс, 4"
